Altitude (m),Density (kg/m^3)
0.0,1.225
5000.0,0.73643
10000.0,0.41351
15000.0,0.19476
20000.0,0.08891
25000.0,0.040084
30000.0,0.01841
35000.0,0.0084634
40000.0,0.0039957
45000.0,0.0019663
50000.0,0.0010269
55000.0,0.0005681
60000.0,0.00030968
65000.0,0.00016321
70000.0,8.2829e-05
75000.0,3.9921e-05
80000.0,1.8458e-05
85000.0,8.2195e-06
90000.0,3.44e-06
95000.0,1.3873e-06
100000.0,5.6044e-07
105000.0,2.3325e-07
110000.0,9.6734e-08
115000.0,4.2794e-08
120000.0,2.2199e-08
125000.0,1.2918e-08
130000.0,8.1494e-09
135000.0,5.4647e-09
140000.0,3.8313e-09
145000.0,2.7805e-09
150000.0,2.0752e-09
155000.0,1.5848e-09
160000.0,1.2336e-09
165000.0,9.7526e-10
170000.0,7.8155e-10
175000.0,6.3382e-10
180000.0,5.194e-10
185000.0,4.2952e-10
190000.0,3.5807e-10
195000.0,3.0064e-10
200000.0,2.5407e-10
205000.0,2.1596e-10
210000.0,1.8456e-10
215000.0,1.5849e-10
220000.0,1.3671e-10
225000.0,1.1839e-10
230000.0,1.029e-10
235000.0,8.9757e-11
240000.0,7.855e-11
245000.0,6.8954e-11
250000.0,6.0706e-11
255000.0,5.3587e-11
260000.0,4.742e-11
265000.0,4.2058e-11
270000.0,3.7382e-11
275000.0,3.3294e-11
280000.0,2.971e-11
285000.0,2.656e-11
290000.0,2.3783e-11
295000.0,2.1331e-11
300000.0,1.9159e-11
305000.0,1.7232e-11
310000.0,1.5519e-11
315000.0,1.3994e-11
320000.0,1.2634e-11
325000.0,1.1419e-11
330000.0,1.0333e-11
335000.0,9.3607e-12
340000.0,8.4886e-12
345000.0,7.7054e-12
350000.0,7.0011e-12
355000.0,6.367e-12
360000.0,5.7954e-12
365000.0,5.2795e-12
370000.0,4.8132e-12
375000.0,4.3914e-12
380000.0,4.0093e-12
385000.0,3.6629e-12
390000.0,3.3484e-12
395000.0,3.0627e-12
400000.0,2.8028e-12
405000.0,2.5662e-12
410000.0,2.3507e-12
415000.0,2.1543e-12
420000.0,1.9752e-12
425000.0,1.8118e-12
430000.0,1.6626e-12
435000.0,1.5265e-12
440000.0,1.402e-12
445000.0,1.2883e-12
450000.0,1.1843e-12
455000.0,1.0891e-12
460000.0,1.002e-12
465000.0,9.2222e-13
470000.0,8.4913e-13
475000.0,7.8214e-13
480000.0,7.207e-13
485000.0,6.6434e-13
490000.0,6.1261e-13
495000.0,5.6511e-13
500000.0,5.2148e-13
505000.0,4.8139e-13
510000.0,4.4454e-13
515000.0,4.1065e-13
520000.0,3.7949e-13
525000.0,3.5083e-13
530000.0,3.2446e-13
535000.0,3.0019e-13
540000.0,2.7785e-13
545000.0,2.5727e-13
550000.0,2.3832e-13
555000.0,2.2086e-13
560000.0,2.0477e-13
565000.0,1.8993e-13
570000.0,1.7625e-13
575000.0,1.6363e-13
580000.0,1.5199e-13
585000.0,1.4124e-13
590000.0,1.3131e-13
595000.0,1.2214e-13
600000.0,1.1367e-13
605000.0,1.0584e-13
610000.0,9.8597e-14
615000.0,9.1903e-14
620000.0,8.571e-14
625000.0,7.9981e-14
630000.0,7.4678e-14
635000.0,6.977e-14
640000.0,6.5225e-14
645000.0,6.1015e-14
650000.0,5.7114e-14
655000.0,5.3499e-14
660000.0,5.0147e-14
665000.0,4.7038e-14
670000.0,4.4154e-14
675000.0,4.1478e-14
680000.0,3.8993e-14
685000.0,3.6686e-14
690000.0,3.4542e-14
695000.0,3.255e-14
700000.0,3.0698e-14
705000.0,2.8976e-14
710000.0,2.7374e-14
715000.0,2.5882e-14
720000.0,2.4491e-14
725000.0,2.3196e-14
730000.0,2.1987e-14
735000.0,2.0858e-14
740000.0,1.9805e-14
745000.0,1.882e-14
750000.0,1.79e-14
755000.0,1.7039e-14
760000.0,1.6233e-14
765000.0,1.5478e-14
770000.0,1.4771e-14
775000.0,1.4108e-14
780000.0,1.3487e-14
785000.0,1.2903e-14
790000.0,1.2356e-14
795000.0,1.1841e-14
800000.0,1.1358e-14
805000.0,1.0904e-14
810000.0,1.0477e-14
815000.0,1.0074e-14
820000.0,9.6947e-15
825000.0,9.337e-15
830000.0,8.9992e-15
835000.0,8.6801e-15
840000.0,8.3783e-15
845000.0,8.0928e-15
850000.0,7.8223e-15
855000.0,7.5659e-15
860000.0,7.3227e-15
865000.0,7.0917e-15
870000.0,6.8723e-15
875000.0,6.6635e-15
880000.0,6.4649e-15
885000.0,6.2757e-15
890000.0,6.0952e-15
895000.0,5.9231e-15
900000.0,5.7587e-15
905000.0,5.6016e-15
910000.0,5.4514e-15
915000.0,5.3075e-15
920000.0,5.1698e-15
925000.0,5.0377e-15
930000.0,4.9111e-15
935000.0,4.7895e-15
940000.0,4.6728e-15
945000.0,4.5605e-15
950000.0,4.4525e-15
955000.0,4.3486e-15
960000.0,4.2484e-15
965000.0,4.1519e-15
970000.0,4.0587e-15
975000.0,3.9687e-15
980000.0,3.8818e-15
985000.0,3.7977e-15
990000.0,3.7163e-15
995000.0,3.6375e-15
1000000.0,3.5611e-15
